question,answer,topic,netplus,secplus
What is a node?,Any device on the network that actively transmits and receives information.,networking basics,TRUE,TRUE
What is a host?,A node that serves as a beginning or endpoint of communication.,networking basics,TRUE,TRUE
What is media?,Physical path connecting nodes.,networking basics,TRUE,TRUE
What is data?,Information carried by the media.,networking basics,TRUE,TRUE
What is the smallest unit of data?,Bit.,networking basics,TRUE,TRUE
What is a networking device?,Node that functions as part of the network structure.,networking basics,TRUE,TRUE
What device separates collision domains?,Switch,networking basics,TRUE,TRUE
What device separates broadcast domains?,Router,networking basics,TRUE,TRUE
What is the first octet decimal range of a class A subnet?,1-126,subnetting,TRUE,TRUE
What is the first octet decimal range of a class B subnet?,128-191,subnetting,TRUE,TRUE
What is the first octet decimal range of a class C subnet?,182-223,subnetting,TRUE,TRUE
What is the first octet decimal range of a class D subnet?,224-239,subnetting,TRUE,TRUE
What is the first octet decimal range of a class E subnet?,240-254,subnetting,TRUE,TRUE
What is the default subnet mask of a class A subnet?,255.0.0.0,subnetting,TRUE,TRUE
What is the default subnet mask of a class B subnet?,255.255.0.0,subnetting,TRUE,TRUE
What is the default subnet mask of a class C subnet?,255.255.255.0,subnetting,TRUE,TRUE
What are the first octet high order bits of a class A subnet?,0,subnetting,TRUE,TRUE
What are the first octet high order bits of a class B subnet?,10,subnetting,TRUE,TRUE
What are the first octet high order bits of a class C subnet?,110,subnetting,TRUE,TRUE
What are the first octet high order bits of a class D subnet?,1110,subnetting,TRUE,TRUE
What are the first octet high order bits of a class E subnet?,1111,subnetting,TRUE,TRUE
What is the address range of a class A network?,10.0.0.0-10.255.255.255,subnetting,TRUE,TRUE
What is the address range of a class B network?,172.16.0.0 - 172.31.255.255,subnetting,TRUE,TRUE
What is the address range of a class C network?,192.168.0.0 - 192.168.255.255,subnetting,TRUE,TRUE
What is the loopback address?,127.0.0.0 (127.x.y.z),subnetting,TRUE,TRUE
What is the address for APIPA?,169.254.x.y,subnetting,TRUE,TRUE
How many networks are available on a subnet?,2^x where x=number of 1s set,subnetting,TRUE,TRUE
How many hosts are available on a network?,2^y where y=number of zeroes set,subnetting,TRUE,TRUE
What are the rules for writing an IPv6 address?,"1. You can group multiple sets of ""0000"" with ""::"" one time.  2. You can drop leading zeros. 3. you can replace ""0000"" with ""0"".",subnetting,TRUE,TRUE
How is the subnet mask used?,It is used by the local workstation to determine which subnet it's on.,subnetting,TRUE,TRUE
What is CIDR notation for a network with the subnet mask of 255.255.255.0?,slash 24,subnetting,TRUE,TRUE
How many bits is an IPv6 address?,128 bits,networking basics,TRUE,TRUE
What is the top level domain?,".com, .net etc",networking basics,TRUE,TRUE
What service translates a url to an ip address?,DNS,networking basics,TRUE,TRUE
What type of DNS record translates url to ipv4 address?,a record,networking basics,TRUE,TRUE
What type of DNS record translates url to ipv6 address?,aaaaa record,networking basics,TRUE,TRUE
What type of DNS record translates a domain to a mailserver?,mx record,networking basics,TRUE,TRUE
What port/protocol is SSH?,22/tcp,standard ports,TRUE,TRUE
What port/protocol is DNS?,53/udp,standard ports,TRUE,TRUE
What port/protocol is SMTP,25/tcp,standard ports,TRUE,TRUE
What port/protocol is SMTPS,465/tcp,standard ports,TRUE,TRUE
What port/protocol is SFTP,22/tcp,standard ports,TRUE,TRUE
What port/protocol is FTP?,"20 (data), 21 (control)/tcp",standard ports,TRUE,TRUE
What port/protocol is FTPS?,"989 (data), 990 (control)/tcp",standard ports,TRUE,TRUE
What port/protocol is TFTP?,69/udp,standard ports,TRUE,TRUE
What port/protocol is Telnet?,23/tcp,standard ports,TRUE,TRUE
What port/protocol is DHCP?,"67,68/udp",standard ports,TRUE,TRUE
What port/protocol is HTTP?,80/tcp,standard ports,TRUE,TRUE
What port/protocol is HTTPS?,443/tcp,standard ports,TRUE,TRUE
What port/protocol is SNMP?,161/udp,standard ports,TRUE,TRUE
What port/protocol is RDP?,3389/tcp,standard ports,TRUE,TRUE
What port/protocol is NTP?,123/udp,standard ports,TRUE,TRUE
What port/protocol is SIP?,"5060,5061/tcp",standard ports,TRUE,TRUE
What port/protocol is SMB?,445/tcp,standard ports,TRUE,TRUE
What port/protocol is POP3?,110/tcp,standard ports,TRUE,TRUE
What port/protocol is POP3S?,995/tcp,standard ports,TRUE,TRUE
What port/protocol is IMAP4?,143/tcp,standard ports,TRUE,TRUE
What port/protocol is IMAPS?,993/tcp,standard ports,TRUE,TRUE
What port/protocol is LDAP?,389/tcp,standard ports,TRUE,TRUE
What port/protocol is LDAPS?,636/tcp,standard ports,TRUE,TRUE
What port/protocol is H.323?,1720/tcp,standard ports,TRUE,TRUE
What port is IPSec?,"4500 (NAT traversal mode), 500 (IKE), 50 (ESP), 51 (AH)",standard ports,TRUE,TRUE
What port/protocol is NetBIOS?,"137-138/udp, 138-139/tcp",standard ports,TRUE,TRUE
What port/protocol is RTP?,"5004,5005/tcp and udp",standard ports,TRUE,TRUE
What port/protocol is VNC?,"5900 +n, where n=display number/tcp",standard ports,TRUE,TRUE
What ports range are System Ports?,1-1023,standard ports,TRUE,TRUE
What ports range are User Ports?,1024-49151,standard ports,TRUE,TRUE
How are User Ports generally used?,Software developers use them for applications.,standard ports,TRUE,TRUE
What ports range are Private Ports?,49152-65535,standard ports,TRUE,TRUE
What port/protocol is DHCP?,"67,68/udp",standard ports,TRUE,TRUE
What port/protocol is SCP?,22/tcp,standard ports,TRUE,TRUE
What port/protocol is RADIUS?,1812/udp,standard ports,TRUE,TRUE
What port/protocol is TACACS+?,49/tcp,standard ports,TRUE,TRUE
What port/protocol is Kerberos?,88/udp (tcp for large tickets),standard ports,TRUE,TRUE
What port/protocol is Syslog?,514/udp,standard ports,TRUE,TRUE
What port/protocol is MSSQL?,1433/tcp,standard ports,TRUE,TRUE
What port/protocol is LZTP?,1701/ppp,standard ports,TRUE,TRUE
What port/protocol is PPTP?,1723/gre,standard ports,TRUE,TRUE
What port/protocol is Jet Direct?,9100/tcp,standard ports,TRUE,TRUE
What service runs on ports 20 and 21?,FTP,standard ports,TRUE,TRUE
What services run on port 22?,"SSH, SCP",standard ports,TRUE,TRUE
What service runs on port 23?,Telnet,standard ports,TRUE,TRUE
What service runs on port 25?,SMTP,standard ports,TRUE,TRUE
What service runs on port 49?,TACACS+,standard ports,TRUE,TRUE
What service runs on port 53?,DNS,standard ports,TRUE,TRUE
What service runs on ports 67 and 68?,DHCP,standard ports,TRUE,TRUE
What service runs on port 69?,TFTP,standard ports,TRUE,TRUE
What service runs on port 80?,HTTP,standard ports,TRUE,TRUE
What service runs on port 88?,Kerberos,standard ports,TRUE,TRUE
What service runs on port 110?,POP,standard ports,TRUE,TRUE
What service runs on port 123?,NTP,standard ports,TRUE,TRUE
What service runs on ports 137-139?,NetBIOS,standard ports,TRUE,TRUE
What service runs on port 143?,IMAP,standard ports,TRUE,TRUE
What service runs on port 161?,SNMP,standard ports,TRUE,TRUE
What service runs on port 389?,LDAP,standard ports,TRUE,TRUE
What service runs on port 443?,HTTPS,standard ports,TRUE,TRUE
What service runs on port 445?,SMB,standard ports,TRUE,TRUE
What service runs on port 465?,SMTPS,standard ports,TRUE,TRUE
What service runs on port 500?,IPSEC,standard ports,TRUE,TRUE
What service runs on port 514?,Syslog,standard ports,TRUE,TRUE
What service runs on port 636?,LDAPS,standard ports,TRUE,TRUE
What service runs on ports 989 and 990?,FTPS,standard ports,TRUE,TRUE
What service runs on port 993?,IMAPS,standard ports,TRUE,TRUE
What service runs on port 995?,POP3S,standard ports,TRUE,TRUE
What service runs on port 1433?,MSSQL,standard ports,TRUE,TRUE
What service runs on port 1701?,L2TP,standard ports,TRUE,TRUE
What service runs on port 1723?,PPTP,standard ports,TRUE,TRUE
What service runs on port 1812?,RADIUS,standard ports,TRUE,TRUE
What service runs on port 3389?,RDP,standard ports,TRUE,TRUE
What service runs on port 9100?,Jet Direct,standard ports,TRUE,TRUE
What is the difference between the OSI model and the TCP/IP model?,"Open Systems Interconnect (OSI) is primarily an education tool while the TCP/IP model is developed by the DOD to solve networking problems, and is maintained by the IETF.",osi model,TRUE,TRUE
What OSI layer is TCP?,Transport Layer (4),osi model,TRUE,TRUE
What OSI layer is HTTP?,Application Layer (7),osi model,TRUE,TRUE
"What OSI layer is responsible for character encoding, data compression, and encryption/decryption?",Presentation Layer (6),osi model,TRUE,TRUE
What is OSI Layer 1?,Physical Layer,osi model,TRUE,TRUE
What is OSI Layer 2?,Data Link Layer,osi model,TRUE,TRUE
What is OSI Layer 3?,Network Layer,osi model,TRUE,TRUE
What is OSI Layer 4?,Transport Layer,osi model,TRUE,TRUE
What is OSI Layer 5?,Session Layer,osi model,TRUE,TRUE
What is OSI Layer 6?,Presentation Layer,osi model,TRUE,TRUE
What is OSI Layer 7?,Application Layer,osi model,TRUE,TRUE
What is the PDU for OSI Layer 1?,bits,osi model,TRUE,TRUE
What is the PDU for the Physical Layer of the OSI model?,bits,osi model,TRUE,TRUE
What is the PDU for OSI Layer 2?,frame,osi model,TRUE,TRUE
What is the PDU for the Data Link Layer of the OSI model?,frame,osi model,TRUE,TRUE
What is the PDU for OSI Layer 3?,packet,osi model,TRUE,TRUE
What is the PDU for the Network Layer of the OSI model?,packet,osi model,TRUE,TRUE
What is the PDU for OSI Layer 4?,segment,osi model,TRUE,TRUE
What is the PDU for the Transport Layer of the OSI model?,segment,osi model,TRUE,TRUE
What happens at the Data Link Layer?,Locical Link Control and Media Access Control,osi model,TRUE,TRUE
How are source and destinations managed at the Data Link Layer?,MAC addresses,osi model,TRUE,TRUE
How are source and destinations managed at the Network Layer?,IP addresses,osi model,TRUE,TRUE
What protocol assigns MAC addresses?,ARP,osi model,TRUE,TRUE
What is ARP?,"Address Resolution Protocol, maps IP addresses to MAC addresses",osi model,TRUE,TRUE
What does the command pathping do?,Windows command like tracert which pings each router 100 times (default) to generate packet loss and latency information.,network commands,TRUE,TRUE
Does traceroute work in Windows?,"No, the command is tracert in Windows.",network commands,TRUE,TRUE
What command returns active tcp/ip connections?,netstat,network commands,TRUE,TRUE
What does the command ipconfig do?,"In Windows, it displays settings for installed network interfaces, IPv4 and IPv6 addresses, subnet mask, and default gateway.",network commands,TRUE,TRUE
What does the command ifconfig do?,"In Linux, it displays settings for installed network interfaces, IPv4 and IPv6 addresses, subnet mask, and default gateway.",network commands,TRUE,TRUE
How do you open command prompt as administrator?,cmd ctrl shift enter,network commands,TRUE,TRUE
How do you traceroute in Windows?,tracert,network commands,TRUE,TRUE
What command displays DNS information?,ipconfig -displaydns,network commands,TRUE,TRUE
What is LACP?,Link Aggregation Control Protocol,routing,TRUE,TRUE
How manysubnets does the mask produce?,2^x where x=the number of masked bits (ones),subnetting,TRUE,TRUE
How many valid hosts per subnet are available?,2^y-2 where y=the number of unmasked bits (zeros),subnetting,TRUE,TRUE
What are the valid subnets?,256-subnet mask=block size,subnetting,TRUE,TRUE
What is the broadcast of each subnet?,Highest number below the next subnet (last is always 255),subnetting,TRUE,TRUE
What are valid hosts in each subnet?,Numbers between subnet address and broadcast address of each subnet,subnetting,TRUE,TRUE
What is CHAP?,Challenge Handshake Authentication Protocol,security,TRUE,TRUE
What is the most secure EAP?,Protected EAP (PEAP),security,TRUE,TRUE
Which forms of EAP use x.509 certificates for authentication?,EAP-TLS and EAP-TTLS,security,TRUE,TRUE
Which form of EAP is used by Cisco hardware?,Lightweight EAP (LEAP),security,TRUE,TRUE
Which form of EAP is used by GSM cellular networks?,EAP-SIM,security,TRUE,TRUE
What protocol does a RADIUS Server use?,UDP,security,TRUE,TRUE
What protocol does TACACS+ use?,TCP,security,TRUE,TRUE
What company makes TACACS+?,Cisco,security,TRUE,TRUE
"What supports more non-IP protocols, RADIUS or TACACS?",TACACS+,security,TRUE,TRUE
"What is more resource intensive, RADIUS or TACACS?",TACACS+,security,TRUE,TRUE
What technologies are covered by 802.1x?,WPA enterprize and WPA2 enterprize,security,TRUE,TRUE
What is the innermost layer of the Defense in depth strategy?,Data,security,TRUE,TRUE
What is the 2nd innermost layer of the Defense in depth strategy?,Application,security,TRUE,TRUE
What is the 3rd innermost layer of the Defense in depth strategy?,Host,security,TRUE,TRUE
What is the central (4th) layer of the Defense in depth strategy?,Internal network,security,TRUE,TRUE
what is the 5th (3rd from outside) layer of the Defense in depth strategy?,Perimeter network,security,TRUE,TRUE
what is the 7th (2nd from outside) layer of the Defense in depth strategy?,Physical facility,security,TRUE,TRUE
What is the outermost layer of the Defense in depth strategy?,Users and organization,security,TRUE,TRUE
What device is used to scan for open ports?,Port scanner,security,TRUE,TRUE
How do you prevent SQL injection?,input validation,security,TRUE,TRUE
What device is often called a sniffer?,protocol analyzer,security,TRUE,TRUE
What servise should receive the highest Quality of Service (Qos)?,VOIP,voice,TRUE,TRUE
What is a PBX?,Private branch exchange,voice,TRUE,TRUE
What is h.323?,Most mature phone,voice,TRUE,TRUE
What are 2 benefits of SIP?,Open and extensible,voice,TRUE,TRUE
What is SCCP?,"Skinny Client Control Protocol, Cisco proprietary",voice,TRUE,TRUE
What does a SIP trunk do?,Connects IP PBX to PSTN.,voice,TRUE,TRUE
What are the most common legacy ICS technologies?,SCADA and DCS,industrial systems,TRUE,TRUE
What is SCADA?,"Supervisory Control and Data Acquisition, developed for large scale distribution systems.",industrial systems,TRUE,TRUE
What is DCS?,"Distributed Control System, designed to extend process control systems in refineries and industrial plants.",industrial systems,TRUE,TRUE
What are the advantages of DCS?,Real time data,industrial systems,TRUE,TRUE
What is DAS?,Directly attached storage.,storage,TRUE,TRUE
What is NAS?,Network attached storage.,storage,TRUE,TRUE
What type of memory is used in storage?,RAID,storage,TRUE,TRUE
What does a Storage Area Network do differently from a NAS?,Allocates at block-level and protects from simultaneous access by multiple hosts.,storage,TRUE,TRUE
What does a SAN use to,"Host Based Adapter instead of NIC cards, Fiber Channel, Fiber Channel Protocol (FCP) link speeds up to 16Gbps, SCSI for high level operations.",storage,TRUE,TRUE
What method is typically used to improve Qos?,Best Effort method,storage,TRUE,TRUE
"What method of prioritization expedites video, voice, or data traffic?",Latency based,,TRUE,TRUE
What method of prioritization expedites network traffic?,Time based,,TRUE,TRUE
What QoS method is included in the frame header?,802.1p,,TRUE,TRUE
What role does a hyvervisor serve?,Abstraction layer between host operating system and VM operating systems.,virtualization,TRUE,TRUE
What is a type 1 hypervisor?,bare metal,virtualization,TRUE,TRUE
what is a type 2 hypervisor?,host based,virtualization,TRUE,TRUE
What is a host in regard to virtualization?,Physical hardware that ultimately hosts all virtual infrastructure.,virtualization,TRUE,TRUE
What is container virtualization?,Host uses one OS and splits filing systems into containers.,virtualization,TRUE,TRUE
How does a VM access the network?,"Virtual NIC (VNIC), hypervisor performs NAT, or bridged adapter to external IP.",virtualization,TRUE,TRUE
What are the NIST standards for cloud service?,"On demand self-service, broad network access, resource pooling, rapid elasticity, measured service.",virtualization,TRUE,TRUE
What are the major cloud service models?,"Software as a service, Platform as a service, Infrastructure as a service",virtualization,TRUE,TRUE
What are the two planes of Software Defined Networking?,Control plane and data plane.,,TRUE,TRUE
What is the control plane of SDN?,"Makes decisions about traffic flow, routing protocols, switching protocols, QoS…",,TRUE,TRUE
What is the data plane of SDN?,"Moves frames and packets through network,routing packets, scheduling queues, reading routing tables and ARP values.",,TRUE,TRUE
What is an example of a common Network Analyzer?,Wireshark,tools,TRUE,TRUE
What is an example of a common SNMP management software?,HP Openview,tools,TRUE,TRUE
What is an example of a common SIEM management software?,Splunk,tools,TRUE,TRUE
What is the most secure version of SNMP?,SNMPv3,tools,TRUE,TRUE
What are the Syslog severity levels?,0. Emergency 1. Alert 2. Critical 3. Error 4. Warning 5. Notice 6. Informational 7. Debug,tools,TRUE,TRUE
What are the benefits of SIEM software?,"Aggregation, Correlation, Alerts, Log Retention, Analysis tools",tools,TRUE,TRUE
What is the difference between a proxy server and a load balancer?,"Proxy server caches common queries and serves them when requested, while load balancer spreads the load among multiple servers.",,TRUE,TRUE
A high discard rate may be a symptom of what network problem?,Congestion,,TRUE,TRUE
What is a fault tolerant system?,System which can continue to operate in the event of a critical hardware or software failure.,,TRUE,TRUE
What is a high availability system?,System with 99.999% or greater uptime (5.26 minutes downtime per year).,,TRUE,TRUE
What is MTTF?,Mean time to failure: average time it takes for a newly installed device to fail.,,TRUE,TRUE
What is MTTR?,Mean time to repair: the average time to repair a serviceable device.,,TRUE,TRUE
What is MTBF?,Mean time between failures: averave uptime between failures on a serviceable device.,,TRUE,TRUE
What is MTBSI?,Mean time between service incidents: average time between failures including repair time.,,TRUE,TRUE
What is AFR?,Annualized failure rate: percentage of units expected to fail in one year.,,TRUE,TRUE
What is RTO?,Recovery time objective: maximum expected downtime from disaster.,,TRUE,TRUE
What is RPO?,Recovery point objective: maximum amount of data measured in time to be lost in a disaster.,,TRUE,TRUE
What is SLE?,Single Loss Expectancy,,TRUE,TRUE
What is ARO?,Annual Rate of Occurrence,,TRUE,TRUE
What is ALE?,Annual Loss Expectancy (SLE * ARO),,TRUE,TRUE
How is a Quantitative Risk Assessment measured?,Annual Loss Expectancy (SLE * ARO),,TRUE,TRUE
What term describes a redundant part which can be replaced without interrupting service?,Hot swappable,,TRUE,TRUE
How is backup power used to increase redundancy?,"Uninterpretable power supply (UPS), redundant power supply, or backup generator provides redundancy during blackouts, brownouts, and sags.",,TRUE,TRUE
How is RAID used to increase network redundancy?,Redundant array of independent disks: saves data to multiple hard drives at once.,,TRUE,TRUE
How are network topologies used to increase network redundancy?,"Mesh topology, NIC teaming, and port aggregation create redundant paths.",,TRUE,TRUE
How is load balancing used to increase redundancy?,Failure of one server reduces performance but does not interrupt service.,,TRUE,TRUE
How does clustering increase redundancy?,Multiple servers in a cluster can dynamically reallocate duties after detecting the failure of one or more server.,,TRUE,TRUE
How is virtualization used to increase redundancy?,Flexible on demand solutions can be stood up quickly and automatically.,,TRUE,TRUE
What is a hot spare?,"Spare component that is connected, powered, and ready to automatically take over if the primary fails.",policy,TRUE,TRUE
What is a cold spare,Spare component kept in storage until needed.,policy,TRUE,TRUE
What is a hot site,Fully operational site which can be activated in hours or less depending on recovery plan.,policy,TRUE,TRUE
What is a cold site,Site space is set up in advance without hardware.,policy,TRUE,TRUE
What is a warm site,Site is partially set up with some hardware.,policy,TRUE,TRUE
What is a full backup?,"Backs up all files regardless of archive bits, and clears all archive bits.",policy,TRUE,TRUE
What is an incremental backup?,"Backs up files with archive bit set, and clears bit.  Saves all changes since last full or incremental backup.",policy,TRUE,TRUE
What is a differential backup?,"Backs up files with archive bit set, and does not clear bit.  Backs up changes made since last full backup.",policy,TRUE,TRUE
What is a snapshot backup?,Backup is performed from a virtual copy of running system.,policy,TRUE,TRUE
What are some considerations for backups?,"Keep clearly labeled, secure storage, encryption, store offsite, data destruction.",,,
What is a policy?,Formal identification of problem and scope.,policy,,
What is a standard?,Mandatory action or rule to support policy.,policy,,
What is a guideline?,Recommendation to users when specific standards do not apply.,policy,,
What is a procedure?,Step by step instructions.,policy,,
What are 4 mobile device policies?,"COBO, BYOD, COPE, CYOD ",policy,,
What is COBO?,"Corporate owned, business only",policy,,
What is BYOD?,Bring your own device,policy,,
What is COPE?,"Corporate owned, personally enabled",policy,,
What is CYOD?,Choose your own device,policy,,
What are the differences between major and minor updates?,,,,
What are the steps of the change management process?,,,,
What is a Qualitative Risk Assessment?,,risk management,,
What are some mitigation techniques?,"Technology controls, policies and procedures, routine audits, incident management, change management.",risk management,,
What are the Risk Management methods?,"Avoidance, transference, mitigation, deterrence, acceptance.",risk management,,
What is winserver.exe?,Remote Access Trojan,"malware vectors, attacks",,
What does a virus do?,Attaches milicious code to another file.,"malware vectors, attacks",,
What does a worm do?,Replicates itself by exploiting system vulnerabilities.,"malware vectors, attacks",,
What does a trojan do?,Masquerades as a harmless or useful program.,"malware vectors, attacks",,
What does a logic bomb do?,Lies dormant until certain condition is met.,"malware vectors, attacks",,
How does a watering hole work?,Infect site to attack site's users.,"malware vectors, attacks",,
What is the XMAS atack?,Network probe using TCP packet with all flags set.,"malware vectors, attacks",,
What is fuzzing,Network probe using random or invalid data in header fields or data inputs.,"malware vectors, attacks",,
What is banner grabbing?,Network probe sending routine packet to service.,"malware vectors, attacks",,
What type of encryption protects data in transit?,Transport encryption,cryptography,FALSE,TRUE
What type of encryption protects data at rest?,Storage encryption,cryptography,FALSE,TRUE
What type of encryption protects data in use?,Memory encryption,cryptography,FALSE,TRUE
How is code protected from reverse engineering?,Cryptographic obfuscation,cryptography,FALSE,TRUE
What is the difference between confusion and diffusion?,Confusion uses mathematical complexity while diffusion breaks up patterns in plaintext.  Both have the ability to change half the bits of cyphertext with the change of one bit of plaintext.,cryptography,FALSE,TRUE
What is the act of sharing a key with a third party?,Key Escrow,cryptography,FALSE,TRUE
What are the main benefits of a stream cipher?,High performance and work well with data streams of arbitrary length.,cryptography,FALSE,TRUE
For what use are block ciphers best suited?,Bulk storage,cryptography,FALSE,TRUE
What is a drawback of ECB?,"Cannot provide semantic security, less secure as the message becomes longer.",cryptography,FALSE,TRUE
What is XOR?,"Exclusive OR function, receives inputs based on binary values outputting single binary value.",cryptography,FALSE,TRUE
How does CBC work?,Does XOR operation on each block of plaintext using the previouz block of ciphertext combined with an initialization vector.,cryptography,FALSE,TRUE
How does CFB work?,"Cipher FeedBack, like CBC but more like stream cipher, enables encryption of stream values without padding.",cryptography,FALSE,TRUE
How does OFB work?,"Output FeedBack, like CFB with error correction.",cryptography,FALSE,TRUE
How does CTR work?,"Counter, stream cipher where each block's encryption uses an incrementing counter.",cryptography,FALSE,TRUE
How does GCM work?,Counter mode with hash based authentication code.,cryptography,FALSE,TRUE
Nuemonic for symmetric encryption?,32BRAIDS,cryptography,FALSE,TRUE
Symmetric 1 (3),"3DES 112 bit key strength, 80 bit effective",cryptography,FALSE,TRUE
Symmetric 2 (2),"2 Fish 128, 192, 256 keys, 128 bit blocks",cryptography,FALSE,TRUE
Symmetric 3 (B),Blowfish 448bit 64 bit block,cryptography,FALSE,TRUE
Symmetric 4 R,RC4 Ron's Cipher 1-4,cryptography,FALSE,TRUE
Symmetric 5 A,"AES (Rijndael) 128, 192, 256 key strength, 128 bit blocks",cryptography,FALSE,TRUE
Symmetric 6 I,IDEA,cryptography,FALSE,TRUE
Symmetric 7 D,"DES 56 bit key, 64 bit block",cryptography,FALSE,TRUE
Symmetric 8 S,Serpent,cryptography,FALSE,TRUE
Nuemonic for asymmetric encryption?,DEERQ,cryptography,FALSE,TRUE
Asymmetric 1 D,Diffie Helman,cryptography,FALSE,TRUE
Asymmetric 2 E,El Gamal,cryptography,FALSE,TRUE
Asymmetric 3 E,Eliptical Curve Cryptography,cryptography,FALSE,TRUE
Asymmetric 4 R,RSA,cryptography,FALSE,TRUE
Asymmetric 5 Q,Quantum,cryptography,FALSE,TRUE
How is Diffie Hellman generally used?,Key exchange,,FALSE,TRUE
What entity signs and revokes certificates?,Certificate Authority (CA),PKI,FALSE,TRUE
What is OCSP?,"Online Certificate Status Protocol, shows status of certificate, sends request to ca over HTTP",PKI,FALSE,TRUE
What is CRL?,Certificate Revocations List,PKI,FALSE,TRUE
What is static pinning?,Browser publisher pins keys of high traffic sites.,PKI,FALSE,TRUE
What is dynamic pinning?,Uses IETF standard HTTP Public Key Pinning (HPKP),PKI,FALSE,TRUE
What is an ACL?,Access control list,network defense,FALSE,TRUE
What is the difference between IDS and IPS?,Intrusion Prevention System takes action to stop or block suspected attacks while Intrusion Detection System only monitors.,network defense,FALSE,TRUE
What solution must you use to ensure that no network attack can be launched from one network to another?,"Airgap, complete isolation with no connectivity to outside networks",network defense,FALSE,TRUE
What solution allows information to be sent one way into a network?,"Unidirectional gateway, allows data one way without allowing information out.",network defense,FALSE,TRUE
Can an airgap protect against exfiltration or malware?,No.,network defense,FALSE,TRUE
How do you protect a network from all possible attacks?,You can't.  It is impossible to protect against ALL attacks.,network defense,FALSE,TRUE
What are some switch security features?,"Port security, MAC filtering, loop protection, flood guard.",network defense,FALSE,TRUE
What is the difference between a stateless and stateful firewall?,Stateful firewall monitors session activity while stateless simply examines each packet.,network defense,FALSE,TRUE
How does an application layer firewall work?,They use Deep Packet Inspection (DPI) to find irregularities that can be missed by SPI.,network defense,FALSE,TRUE
What is the most secure network configuration?,"Dual firewall, DMZ protected by firewall and another firewall for interior network.",network defense,FALSE,TRUE
How does a three homed firewall configuration work?,DMZ and interior network are each separately protected by a shared firewall.,network defense,FALSE,TRUE
What is a dual homed server configuration?,Bastion hosts sit outside the firewall which protects the interior network.,network defense,FALSE,TRUE
What are some methods of Network Access Control?,"Guest network, posture assessment, and agents.",network defense,FALSE,TRUE
How does a guest network protect your network?,"Because guests are only provided internet access, they do not have access to your network.",network defense,FALSE,TRUE
What is a posture assessment?,Client is placed on a quarantine network until they are verified to meet security rules.,network defense,FALSE,TRUE
How is a honeypot used?,Allows admin to detract and monitor intruder behavior.,network defense,FALSE,TRUE
What is a WAF?,Web Application Firewall (WAF) sits between network and web server.,network defense,FALSE,TRUE
What are some load balancing techniques?,"SSL acceleration, data compression, health checking, TCP offloading and buffering, priority queuing, content caching.",network defense,FALSE,TRUE
What direction is considered forward for a proxy?,Facing outward from the network.,network defense,FALSE,TRUE
